SHOPPING,TRAVEL,ENTERTAINMENT,FOOD,RENT,INVESTMENT,UPI
AMAZON,IRCTC,CARNIVAL,HOTEL,ZOLO,ZERODHA,UPI
FLIPKART,GOIBIBO,BOOKMYSHOW,SWIGGY,RENT,,
BIGBASKET,UBER,NETFLIX,ZOMATO,,,
BRAND FACTORY,ABHIBUSS,YOUTUBE,CAKE,,,
TRENDS,FUEL,HOTSTAR,FAASOS,,,
DECATHLON,PETROLEUM,ORIGIN,MC DONALDS,,,
PROTEINS,RAILWAYS,SPOTIFY,TASMAC,,,
FRUITS,MAKEMYTRIP,GOOGLE,RESTAURANT,,,
PAYTM,,,DOMINOS,,,
